x [cm],y [cm]
179.77121212121213,-77.55294117647058
179.0060606060606,-85.0
179.9492424242424,-78.80882352941177
175.11363636363637,-72.88235294117646
176.1681818181818,-68.03529411764706
172.2409090909091,-70.67058823529412
176.84242424242424,-63.082352941176474
172.7409090909091,-73.05882352941177
174.37651515151515,-76.49705882352941
174.1,-70.45882352941176
174.6189393939394,-71.50882352941177
175.8280303030303,-71.70294117647059
177.3098484848485,-73.90882352941176
177.13787878787878,-72.88235294117646
176.66439393939393,-76.41470588235295
175.5477272727273,-71.57352941176471
175.4340909090909,-71.63823529411765
174.87727272727273,-65.4235294117647
176.16287878787878,-73.96176470588236
171.7310606060606,-43.51470588235294
176.1780303030303,-71.50882352941177
176.21742424242424,-66.6029411764706
177.22045454545454,-69.05588235294118
174.8280303030303,-69.28529411764706
175.66893939393938,-59.36764705882353
171.95151515151514,-65.70588235294117
174.27954545454546,-62.14411764705882
175.075,-57.061764705882354
174.3871212121212,-62.03235294117647
173.0590909090909,-53.8
173.4969696969697,-68.11764705882354
173.33939393939394,-63.50588235294118
174.71742424242424,-69.36176470588235
178.00757575757575,-72.47058823529412
177.12121212121212,-72.6470588235294
176.97575757575757,-77.62352941176471
177.65151515151516,-70.17647058823529
177.12121212121212,-72.6470588235294
175.12651515151515,-73.96176470588236
174.69545454545454,-75.25882352941177
177.6030303030303,-80.05882352941177
176.81136363636364,-71.44411764705882
177.8590909090909,-77.51764705882353
176.73939393939395,-70.10588235294118
180.6787878787879,-82.48235294117647
176.97575757575757,-77.62352941176471
176.16287878787878,-73.96176470588236
175.1219696969697,-61.80882352941177
174.84924242424242,-66.86764705882354
173.6931818181818,-69.36176470588235
175.93939393939394,-62.976470588235294
178.48939393939395,-85.0
179.14242424242425,-79.96470588235294
173.1159090909091,-81.39117647058823
175.14166666666668,-71.50882352941177
176.85075757575757,-66.51470588235294
165.60075757575757,-28.45
171.12651515151515,-62.81470588235294
173.94545454545454,-80.17647058823529
170.70530303030304,-62.70294117647059
172.1310606060606,-74.43823529411765
170.76742424242425,-64.95
176.69166666666666,-71.50882352941177
173.21136363636364,-57.46764705882353
173.6098484848485,-67.04411764705883
173.2219696969697,-64.55
174.08333333333334,-72.88235294117646
174.84924242424242,-66.86764705882354
175.4340909090909,-71.63823529411765
176.78181818181818,-58.34117647058824
171.82954545454547,-71.96176470588236
173.58863636363637,-69.43823529411765
170.9462121212121,-64.75
173.78181818181818,-70.67058823529412
174.60227272727272,-61.80882352941177
176.1962121212121,-69.05588235294118
175.24242424242425,-70.38823529411765
176.41136363636363,-71.37941176470588
176.67651515151516,-73.96176470588236
174.33560606060607,-66.86764705882354
176.5909090909091,-75.11764705882354
176.67651515151516,-73.96176470588236
177.01666666666668,-70.24705882352941
173.37954545454545,-69.20882352941176
177.47424242424242,-82.54117647058824
177.34318181818182,-68.97941176470589
173.84318181818182,-64.45
171.86969696969697,-51.72941176470588
176.10151515151514,-70.17647058823529
176.98636363636365,-75.16470588235295
176.47272727272727,-75.16470588235295
176.14166666666668,-78.86764705882354
176.47272727272727,-75.16470588235295
175.90227272727273,-81.35588235294118
174.6,-72.88235294117646
176.39621212121213,-73.85588235294118
176.3719696969697,-66.86764705882354
178.6931818181818,-78.75
177.61060606060607,-77.58823529411765
175.91363636363636,-65.4235294117647
171.08560606060607,-81.47941176470589
174.33560606060607,-66.86764705882354
171.84772727272727,-69.59117647058824
173.97727272727272,-72.94117647058823
175.6,-77.72941176470589
175.24242424242425,-70.38823529411765
172.9401515151515,-74.27941176470588
175.2621212121212,-67.95294117647059
175.49772727272727,-64.35
174.03636363636363,-65.70588235294117
174.9598484848485,-66.77941176470588
171.925,-71.8970588235294
175.62424242424242,-72.88235294117646
174.63636363636363,-68.03529411764706
173.3939393939394,-68.2
174.06969696969696,-75.30588235294118
176.21742424242424,-66.6029411764706
174.63636363636363,-68.03529411764706
175.53257575757576,-74.01470588235294
173.92348484848486,-66.77941176470588
172.50151515151515,-75.30588235294118
177.68257575757576,-76.41470588235295
173.05757575757576,-70.45882352941176
175.95606060606062,-75.16470588235295
175.11439393939395,-76.41470588235295
175.52045454545456,-76.45588235294117
177.0969696969697,-77.58823529411765
175.73863636363637,-78.83823529411765
177.08939393939394,-80.05882352941177
176.7962121212121,-73.90882352941176
177.2977272727273,-76.37352941176471
176.7689393939394,-81.30294117647058
175.73257575757575,-81.30294117647058
173.84772727272727,-78.92647058823529
175.64621212121213,-73.96176470588236
177.5340909090909,-78.77941176470588
177.91590909090908,-83.76176470588236
175.50227272727273,-86.22058823529412
175.0121212121212,-77.58823529411765
175.95606060606062,-75.16470588235295
175.67954545454546,-69.05588235294118
175.13030303030303,-70.45882352941176
174.27424242424243,-63.082352941176474
174.33560606060607,-66.86764705882354
176.3719696969697,-66.86764705882354
172.77727272727273,-68.28235294117647
174.7098484848485,-59.86176470588235
174.46666666666667,-63.4
174.60681818181817,-69.43823529411765
174.11969696969697,-68.03529411764706
172.72575757575757,-63.61176470588235
175.06060606060606,-65.70588235294117
173.71818181818182,-65.98823529411764
172.1439393939394,-61.35294117647059
172.78636363636363,-58.858823529411765
171.9840909090909,-57.73823529411764
174.35757575757575,-63.50588235294118
173.96136363636364,-76.45588235294117
171.9090909090909,-70.52941176470588
173.05530303030304,-59.36764705882353
177.9340909090909,-76.33235294117647
173.24469696969697,-74.12058823529412
176.15075757575758,-76.41470588235295
175.15,-68.03529411764706
